ID,sex,age,worktime,edu,marriage,RL,WM,WD,HL,HW,OC
519,2,28,3,3,4,0.7497151,0.724786325,1.019610636,0.256695157,0.944159544,0.844064577
520,2,26,5,4,1,0.2497151,1.058119658,0.686277303,0.256695157,0.777492877,0.399620133
521,2,26,6,4,1,0.416381766,0.391452991,0.35294397,0.256695157,0.777492877,0.399620133
522,2,33,3,3,4,0.666381766,1.058119658,0.991832858,0.59002849,0.777492877,0.621842355
523,2,31,3,3,4,0.7497151,1.058119658,0.908499525,0.59002849,0.777492877,0.955175689
524,2,32,3,3,4,0.916381766,1.058119658,0.908499525,0.756695157,0.777492877,0.955175689
525,2,29,4,3,4,0.666381766,0.724786325,1.033499525,0.59002849,0.944159544,0.844064577
526,2,32,5,3,4,0.666381766,0.058119658,0.630721747,1.256695157,0.444159544,0.732953466
527,2,38,8,3,4,0.9997151,0.391452991,0.85294397,0.59002849,0.944159544,0.399620133
528,1,30,6,3,4,0.916381766,0.724786325,0.755721747,0.59002849,0.777492877,0.955175689
529,2,20,1,3,1,0.2497151,0.724786325,0.741832858,0.256695157,0.610826211,0.844064577
530,2,23,1,3,1,-0.333618234,-0.275213675,-0.410944919,-1.743304843,-1.222507123,-0.9337132
531,2,23,1,3,1,0.2497151,-0.275213675,0.283499525,0.923361823,-0.389173789,0.844064577
532,2,28,5,3,4,0.9997151,0.724786325,0.755721747,0.09002849,0.944159544,0.732953466
533,1,27,4,3,3,0.833048433,0.724786325,0.839055081,0.59002849,0.610826211,0.732953466
534,2,33,8,3,4,1.2497151,1.058119658,1.311277303,1.256695157,1.277492877,1.0662868
535,1,37,9,3,4,0.7497151,0.391452991,0.769610636,0.923361823,0.777492877,0.732953466
536,1,29,5,3,4,0.916381766,1.058119658,0.922388414,0.923361823,0.777492877,0.732953466
537,1,28,4,3,3,0.9997151,0.724786325,0.644610636,-0.576638177,0.944159544,0.844064577
538,1,28,4,3,4,0.833048433,1.058119658,0.811277303,0.256695157,1.110826211,0.732953466
539,2,32,5,3,4,0.583048433,0.724786325,0.47794397,1.256695157,0.444159544,0.621842355
540,2,38,6,3,4,0.7497151,0.724786325,0.85294397,1.09002849,1.110826211,0.844064577
541,2,26,2,3,1,0.333048433,0.391452991,0.839055081,-0.243304843,-0.389173789,0.288509022
542,1,32,6,3,4,0.916381766,1.058119658,0.672388414,0.923361823,0.944159544,0.955175689
543,1,41,13,3,4,0.7497151,0.724786325,0.741832858,0.923361823,0.944159544,0.621842355
